Gene,logFC,FoldChange,pValue,FDR
ITGA2B,-6.125076128,-69.79617777,2.78599E-06,0.037067606
MLC1,-2.731561536,-6.641741329,7.60168E-05,0.340779521
CEBPA,5.466186148,44.20648584,0.000125146,0.340779521
CLCN7,2.279799044,4.856103073,0.000127366,0.340779521
RYR3,-5.325592735,-40.10173455,0.000214919,0.340779521
IGF2BP1,-11.70585984,-3340.526609,0.000224969,0.340779521
RNF144A,3.822206949,14.14486937,0.000232175,0.340779521
TANC1,-4.700162651,-25.99500722,0.00024417,0.340779521
TSPAN15,-6.550056431,-93.70514973,0.000257442,0.340779521
CDC42BPA,-4.612148024,-24.45653351,0.000271897,0.340779521
DNM3,-6.234427172,-75.29213019,0.000290796,0.340779521
HPSE2,-9.574625683,-762.516995,0.000314295,0.340779521
RETN,-4.306408253,-19.78600241,0.000332968,0.340779521
PTGS1,-3.054417118,-8.307515721,0.000379354,0.36052218
MGST1,3.993765756,15.93100919,0.000425686,0.377583084
DBN1,-3.4774072,-11.13791436,0.000471205,0.391836353
RHBDD2,2.198199063,4.589061251,0.00052818,0.39611502
TPSB2,7.376090662,166.1210012,0.000535894,0.39611502
SERPINI1,-6.10531117,-68.84648863,0.0006068,0.424919559
CXCL8,3.861643143,14.53685366,0.000726097,0.441782524
PLAG1,-3.046146522,-8.260027139,0.000791395,0.441782524
TELO2,2.57782877,5.97040488,0.000794444,0.441782524
TIPARP,3.139620797,8.812924201,0.000813394,0.441782524
RUNX1T1,-7.066769829,-134.0632338,0.00088222,0.441782524
EPHA3,-9.689506777,-825.7188196,0.000901152,0.441782524
PLXND1,2.891284779,7.419308754,0.000950493,0.441782524
GABBR1,-6.066123571,-67.00159666,0.001012773,0.441782524
ATP8B4,4.035994645,16.40421492,0.001065194,0.441782524
PKIA,-4.014251762,-16.15884036,0.001069267,0.441782524
VIM,4.162270931,17.90475573,0.001079773,0.441782524
CHD7,-2.251292421,-4.761091716,0.001098631,0.441782524
MYCT1,-8.676430255,-409.1341793,0.001098988,0.441782524
CMTM5,-6.972316097,-125.5672215,0.001148717,0.441782524
TNIK,-3.992156926,-15.91325353,0.001193287,0.441782524
