"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"A1BG",244,360,40,47,142,100
"A1BG-AS1",9,24,2,2,15,24
"A1CF",0,0,0,0,0,0
"A2M",43,30,66,110,94,156
"A2M-AS1",17,0,6,1,4,1
"A2ML1",1,8,8,2,5,1
"A2MP1",0,0,0,3,1,0
"A3GALT2",1,0,1,4,5,4
"A4GALT",183,346,274,375,83,2
"A4GNT",0,0,0,2,4,0
"AA06",0,0,0,0,0,0
"AAAS",746,538,952,689,1294,787
"AACS",166,139,125,211,584,1154
"AACSP1",0,0,0,0,2,13
"AADAC",1,0,0,0,0,0
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,1,0,0,0
"AADACP1",0,0,0,0,0,0
"AADAT",19,2,28,62,164,98
"AAED1",196,349,461,231,303,208
"AAGAB",607,1009,944,775,998,1031
"AAK1",1347,2183,624,769,515,698
"AAMDC",101,75,81,104,268,230
"AAMP",1613,1187,1282,1226,2011,1952
"AANAT",9,14,4,12,19,7
"AAR2",1009,537,302,839,935,557
"AARD",0,0,0,0,0,0
"AARS",497,731,959,572,4085,1260
"AARS2",361,253,377,221,640,736
"AARSD1",0,0,1,0,0,0
"AASDH",267,245,90,213,201,230
"AASDHPPT",460,420,283,672,699,673
"AASS",12,0,11,67,4,1854
"AATBC",30,10,10,10,116,27
"AATF",895,795,849,1114,1788,1185
"AATK",37,350,20,19,97,39
"AATK-AS1",0,0,1,3,0,2
"ABALON",16,23,53,88,95,14
"ABAT",102,67,47,133,116,143
"ABCA1",491,821,1644,2101,112,174
"ABCA10",13,1,9,18,5,23
"ABCA11P",46,23,16,47,39,70
"ABCA12",1,0,1,2,3,7
"ABCA13",15,15,83,1041,76,38
"ABCA17P",1,0,5,1,16,41
"ABCA2",1738,2493,1029,966,623,762
"ABCA3",46,44,11,14,272,240
"ABCA4",3,2,11,4,3,0
"ABCA5",286,62,232,431,175,578
"ABCA6",2,2,3,4,5,3
"ABCA7",1653,906,5835,1938,1850,3414
"ABCA8",0,0,3,2,0,0
"ABCA9",1,0,5,5,5,2
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",687,526,33,1237,245,7
"ABCB10",2144,864,4139,2296,1447,1133
"ABCB11",1,0,0,7,6,0
"ABCB4",31,8,7,108,22,21
"ABCB5",10,1,7,9,16,3
"ABCB6",393,196,1974,696,3215,440
"ABCB7",502,734,499,694,607,458
"ABCB8",332,190,384,245,522,330
"ABCB9",80,27,54,158,128,137
"ABCC1",3047,7739,806,1685,3356,8235
"ABCC10",367,266,208,173,439,753
"ABCC11",2,2,0,1,1,2
"ABCC12",0,0,0,0,1,0
"ABCC13",14,3,1,111,27,0
"ABCC2",100,45,19,48,20,23
"ABCC3",8,27,10,5,712,23
"ABCC4",705,394,308,714,5107,801
"ABCC5",1904,416,1733,570,1181,707
"ABCC5-AS1",2,0,0,0,0,0
"ABCC6",2,18,38,20,14,339
"ABCC6P1",0,0,1,0,0,0
"ABCC6P2",0,0,1,0,0,0
"ABCC8",0,0,0,0,2,0
"ABCC9",2,0,1,2,4,6
"ABCD1",236,153,74,402,408,453
"ABCD2",8,1,2,2,2,0
"ABCD3",319,477,281,492,563,741
"ABCD4",734,1589,415,834,906,1916
"ABCE1",1374,907,690,1362,1556,1352
