"","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"A1BG",2.93877798178582,3.62367802868152,0.915969924749165,0.513218788028756,1.8399827417538,1.57750389256861
"A2M",0.448030822682315,0.0605599170035822,1.63140235736573,1.73126573908924,1.24740705692277,2.2164710483223
"A4GALT",2.5247235796768,3.56653412157791,3.67678226086974,3.49603227721208,1.06886892517575,-3.75161970372296
"AAAS",4.54908577696813,4.2026251139849,5.47169520424522,4.37276992121179,5.02334388260181,4.54758831466432
"AACS",2.38446569390485,2.25394389126988,2.54766347581531,2.66787703281776,3.87622384723336,5.09950465916379
"AADAT",-0.709510454304165,-3.54824932567194,0.409009936029281,0.909147464359895,2.04710840643694,1.54850402084605
"AAED1",2.62347282909219,3.57897122481613,4.42630675951031,2.79823156295804,2.93071733895738,2.63035577483434
"AAGAB",4.25182792532673,5.10924777477217,5.45952690825291,4.5423461507339,4.64878325014567,4.93698030727616
"AAK1",5.40115688447345,6.22224939522095,4.8626776834725,4.53114069602602,3.69499325006981,4.37456850679914
"AAMDC",1.67042324401876,1.36822731876577,1.92484807609562,1.65072231177869,2.75394291068711,2.77507514181902
"AAMP",5.66106518932053,5.34353437754637,5.90086303235896,5.20369469825541,5.65922065532733,5.85755903441902
"AAR2",4.98451252216506,4.19994352391752,3.8169112540265,4.65674969463484,4.55475847594248,4.04928019619735
"AARS",3.9636400422646,4.64453663357918,5.48225891805992,4.10449506268211,6.68146156938907,5.22623260424822
"AARS2",3.5029391637847,3.11566451644404,4.13645275607698,2.73452606825283,4.00821939304335,4.45099391642553
"AASDH",3.0684824081221,3.06940179375539,2.07596580894775,2.6814554393183,2.33980066122967,2.77507514181902
"AASDHPPT",3.85214467292492,3.84578456969584,3.72332484680677,4.33675363714179,4.13534487986645,4.32198633685198
"AASS",-1.35105648339169,-5.8701774205593,-0.900318122078447,1.02017877674864,-3.14491036585599,5.78326675389269
"AATBC",-0.0641753356035271,-1.47785999778054,-1.0315626553567,-1.66431939752343,1.54935077735598,-0.292188085085663
"AATF",4.81163694881955,4.76554069977174,5.30659005904876,5.06554408095756,5.48969903569693,5.13773214887169
"AATK",0.233906017329468,3.58309321345132,-0.0663280735173765,-0.771234601439944,1.29249494645131,0.230232949566781
"ABALON",-0.95051855380796,-0.315588568881667,1.31758690826569,1.41096872978081,1.26259346073745,-1.21556680348275
"ABAT",1.68456742633903,1.20663817649153,1.14597553019549,2.00405911138536,1.54935077735598,2.09135912806537
"ABCA1",3.94613493317417,4.81193934439077,6.25955321469994,5.98056692084978,1.49894582391874,2.37353542759933
"ABCA11P",0.544246137941618,-0.315588568881667,-0.379485958777007,0.513218788028756,-0.0110546191211973,1.06600355378847
"ABCA13",-1.04071636277954,-0.915981110172429,1.95982421433859,4.96781030373845,0.942552475394352,0.193238742084579
"ABCA2",5.76871467856121,6.41377906710581,5.58384803649679,4.85998910190904,3.96941038253137,4.50104572872729
"ABCA3",0.544246137941618,0.605556010407094,-0.900318122078447,-1.19865582517462,2.77527705236599,2.83634528515972
"ABCA5",3.16747865559049,1.09560686410278,3.43720682785993,3.69657992887676,2.14049185300626,4.10262535049717
"ABCA7",5.6963946570247,4.95398578918485,8.0867604814166,5.86408819944899,5.53886405300192,6.66391081996014
"ABCB1",4.43030323013297,4.17011230046641,0.642209112322312,5.21657598955214,2.62474384701639,-2.1666572030018
"ABCB10",6.07151292746914,4.88554473308298,7.59136072519722,6.10858424791875,5.1845122655783,5.07302087713046
"ABCB4",-0.0176327496664967,-1.78271457930896,-1.51698948252694,1.70491441214229,-0.822982270968626,-0.647283043908224
"ABCB6",3.62530715234107,2.7482080816993,6.52339157432489,4.38734272229906,6.33599200684047,3.70945041031009
"ABCB7",3.97806711289988,4.65044125999698,4.54046078965696,4.3831940636792,3.93190523119484,3.76723012498473
"ABCB8",3.38229785722214,2.70346976693402,4.16295970982637,2.8829423940125,3.71445185966994,3.29495866289737
"ABCB9",1.3360042049482,-0.0888177070346445,1.34430424664147,2.25170220983722,1.69078918189558,2.0297400098017
"ABCC1",6.57849783234116,8.04784723010803,5.23165064502018,5.66232409168202,6.39790655977743,7.93409272867158
"ABCC10",3.52668776655731,3.18781430219987,3.2800234953092,2.38215503227607,3.4648839878451,4.4839159029875
"ABCC2",1.65613901801252,0.637617219639392,-0.138477859273212,0.543276021884935,-0.957283362680216,-0.518958946932685
"ABCC4",4.46758959943085,3.75370406945415,3.84524660101396,4.42415338079362,7.00356621632229,4.57301091154423
"ABCC5",5.90028389939693,3.83199526480624,6.33559204306737,4.09944625598649,4.89156854667555,4.39303853910892
"ABCC6",-3.67298457827905,-0.660724054930354,0.842906462559441,-0.699084815684108,-1.45685437217073,3.33371996563441
"ABCD1",2.89078370017298,2.39191742481088,1.7952884423267,3.59620815269979,3.35935690084738,3.7514109419182
"ABCD3",3.32475944778058,4.02917950236381,3.71311103394477,3.88734309404155,3.82343643287392,4.46075508384431
"ABCD4",4.52570600738987,5.76417988057867,4.27482458863488,4.64813141906041,4.50932784244586,5.8307104841902
"ABCE1",5.42977851834654,4.95557641232381,5.00761752612259,5.35540369424946,5.28925449417088,5.32786508010386
"ABCF1",5.95673631273821,5.1333404915493,7.26371431144066,6.38033492474688,5.58866994312558,5.47189938306777
"ABCF2",3.82686130880415,3.40827203766118,4.68333699745592,3.67637850138377,4.81894904188161,4.43523736345419
"ABCF3",5.50244022031064,5.07599782016425,4.9929174494706,4.6533085599303,4.0149609709224,4.31339244671399
"ABCG1",2.64533226305593,4.94119727295064,3.76347199506504,3.81526841735699,-0.586914912735101,4.28949183164619
"ABCG2",0.544246137941618,-0.584775201697056,3.52156375824245,2.53207781528007,0.192959272900396,-1.98608495735998
"ABHD10",4.3122881359744,3.51136553062528,3.14976710935786,3.75232735461707,3.07962732731202,3.39609401862919
"ABHD11",1.10311940979411,2.3538242536388,4.45110126951831,1.27428005781242,4.27106608239247,3.60769061316748
"ABHD12",4.42399405809149,3.80047882855914,5.0034327659995,4.17818061081513,4.12083489363825,4.58733947169224
"ABHD12B",1.14463867923238,-1.34661546450229,-1.72344035999437,-1.41278063052747,-1.10538200166935,0.465611012497709
"ABHD13",4.99448182667832,4.48407196138594,3.89126948412084,4.77704392835255,3.27200442066353,3.64584102233176
"ABHD14A",1.06036976233478,-0.51262541594122,1.83350776455719,1.74426307961811,2.14868900597288,2.28839597512492
"ABHD14B",5.07050346151013,5.57845514717125,5.45646873002057,5.29374992201065,5.79858124418765,5.16545395915526
"ABHD15",2.69508529825303,3.76463362961241,3.71822697916709,3.67298392325085,2.85759214134718,3.17200490764536
"ABHD16A",5.04879819018074,5.65093222309203,5.76779606821697,5.43270942041691,5.74957059459274,5.08190293270181
"ABHD16B",0.993772013605753,1.09560686410278,0.879900670041643,-0.564783723972518,1.8399827417538,1.20257660666391
"ABHD17A",4.59847844962532,4.57793888485016,4.20365380633733,4.21132026410065,5.01103221327712,4.82505358879362
"ABHD17B",5.31285735872429,5.8444974067487,3.98338768610927,4.73208151238827,2.54003301596194,4.26295876119993
"ABHD17C",0.89990509014153,5.52482109394237,1.63140235736573,-0.223746806137451,-2.40794477168978,-1.68123037583156
"ABHD2",5.63489927121582,8.25337820772889,5.40187375474765,6.31867417717088,7.42462882728762,4.99590196881746
"ABHD3",3.36922198184164,2.53496404257704,2.98126138500088,3.38423234730868,2.9682529857257,3.34641237923757
"ABHD4",3.09519974649788,6.54530028713869,4.72459650404282,3.59261935721512,5.41605927924337,8.07325950346444
"ABHD5",4.06172504194679,4.5675746517643,6.01958153409193,4.69407016592276,3.60253671217854,4.1371235451753
"ABHD6",-2.29447295502532,0.871289565841843,-1.17595256469187,-1.41278063052747,-0.206310910520131,-4.48858529788917
"ABHD8",2.601277082978,2.68824329270936,2.90254940898684,2.33138046504294,2.58301008870721,2.65777123241474
"ABI1",5.98558396301705,6.40972329524346,6.4833861703956,6.72164568969346,5.81605690250832,5.26128412950768
"ABI2",2.5247235796768,5.08619873669037,4.54334618070053,4.72226165570618,4.41223419072541,5.82769623385705
"ABI3",1.43971555447031,2.01856582833895,-5.42388007813546,0.513218788028756,1.77792177362155,0.892236486051765
"ABL1",6.17720225936672,6.14279622781524,5.84816644625448,6.67149628000402,5.52397461841026,5.99220490320665
"ABL2",4.55871662074995,4.53176870341723,2.36402248125597,3.51131925511327,3.57846616356226,4.40724240248549
"ABLIM1",4.80193812210075,4.85348352385068,5.77395091987674,4.67213402924047,3.80020828286341,1.90944577608399
"ABLIM3",-2.53548105452912,0.107102502940612,-1.17595256469187,-3.73470872541483,1.87992148712395,-2.90362279716801
"ABO",3.88925784594202,3.83199526480624,3.48000176760072,3.57817422986953,4.00596518158334,2.34851696756249
"ABR",4.47980727336007,4.48407196138594,4.81093735298186,3.85774831185325,3.07533358890188,2.40623246541878
"ABRACL",4.1887227083068,3.77187427236867,3.21636485808689,4.23222925386363,5.07156605634248,5.18560697025652
"ABT1",4.61703426865357,4.61061278053651,4.74228300451065,4.50655945191455,3.85132771534781,3.11874501586044
"ABTB1",6.15388164825792,5.34959613033357,4.56053838066568,4.57908130002886,4.28414760373779,4.67883284794257
"ABTB2",1.31797028211794,1.26937393183949,1.17603276405167,1.23798392858943,0.761980229752531,0.465611012497709
"ACAA1",5.29222251292029,5.00557193086075,4.75727217873011,4.44221238622953,5.16746841502488,4.91442672568583
"ACAA2",4.9380402190283,4.96033778641753,4.29208191211968,4.58631740317814,4.73433250507387,4.32412683433795
"ACACA",4.28933307666326,4.37656317793384,4.69894791667221,4.77229300734929,5.25074276948603,6.14773721920015
"ACACB",2.93286528891593,2.78445860796866,3.65026138461705,2.8044500856932,2.62474384701639,3.85866695335806
"ACAD10",4.05629626774835,3.65534338853577,3.09575617470775,2.96295390805569,4.23494930064956,4.61557660630294
"ACAD11",1.56732975105466,1.75187439889707,1.01906341771327,0.133187738577825,0.426631619102847,1.93207675058356
"ACAD8",4.33488366505429,4.32334793994191,3.78313424204207,4.56449929297245,4.66172875611703,3.97766114230444
"ACAD9",3.56159338150551,3.42214421224274,4.91930563731242,4.51984752649466,4.51409446035319,4.51047514164722
"ACADM",4.50592920639052,3.62367802868152,4.70926213426514,4.26866863478749,5.41945086479805,5.52124331947894
"ACADS",4.21088057623074,4.55922932095468,4.44802515952373,4.01616571424201,3.95779441767807,3.33796318940175
"ACADSB",3.84900837812262,2.81281716312238,2.28347905394542,2.24257119808509,3.94843383307436,3.35481237409397
"ACADVL",7.41620104235495,8.18620627658671,8.52293483735938,7.16781713302838,7.47581858025561,7.41190418694548
"ACAP1",6.8852447834354,6.83739740936767,4.82523337457827,6.29954001021416,6.01971726645412,6.58889805897034
"ACAP2",5.73343304154456,5.96784463774524,4.75229307097203,5.84762146249833,5.12343668882653,5.47767980498797
"ACAP3",4.83718617287272,4.63860774150521,6.64052588375558,4.17338361540344,4.41563476988592,5.41680170712896
"ACAT1",3.9549140375927,2.10136613339147,4.60816564879535,3.95598771856287,4.25026671106201,3.47141663417891
"ACAT2",3.17250547266532,2.6096028434698,4.11721653721406,2.29651000519589,3.98322720042072,3.91371621346222
"ACBD3",5.26776946919575,5.03144373778681,4.60540714883278,5.55853299354141,4.1082805428488,4.14440989925379
"ACBD4",2.07654968939021,2.38248801189094,2.51275786086711,1.32706747217186,3.31269851717449,3.62515686816002
