"Gene","logFC","FoldChange","pValue","FDR"
"ITGA2B",-6.1250761275768,-69.7961777712596,0.00000278599070706636,0.0370676063575179
"MLC1",-2.73156153633872,-6.64174132892395,0.0000760168357441523,0.340779521172995
"CEBPA",5.46618614798183,44.2064858448309,0.00012514611356012,0.340779521172995
"CLCN7",2.27979904362962,4.85610307250033,0.000127366326485457,0.340779521172995
"RYR3",-5.32559273504909,-40.1017345548847,0.000214919056062615,0.340779521172995
"IGF2BP1",-11.7058598355177,-3340.5266093713,0.000224969094877128,0.340779521172995
"RNF144A",3.8222069486221,14.1448693743643,0.000232175235009399,0.340779521172995
"TANC1",-4.70016265090155,-25.995007221669,0.000244170189944378,0.340779521172995
"TSPAN15",-6.5500564307009,-93.705149725269,0.000257442075430058,0.340779521172995
"CDC42BPA",-4.61214802438923,-24.4565335095947,0.000271896782343983,0.340779521172995
"DNM3",-6.23442717187445,-75.292130189705,0.000290795649766847,0.340779521172995
"HPSE2",-9.57462568259139,-762.51699503606,0.000314294705445634,0.340779521172995
"RETN",-4.30640825297627,-19.7860024136854,0.000332967589270871,0.340779521172995
"PTGS1",-3.05441711802469,-8.30751572084739,0.000379354416810171,0.360522179689952
"MGST1",3.99376575613565,15.9310091936478,0.000425685551561272,0.377583084234848
"DBN1",-3.47740720013348,-11.1379143631866,0.000471204934060921,0.391836352980035
"RHBDD2",2.19819906286776,4.58906125127678,0.000528180421686368,0.396115020329503
"TPSB2",7.37609066208474,166.121001244144,0.000535894052305979,0.396115020329503
"SERPINI1",-6.10531116959692,-68.8464886343806,0.000606799821451934,0.424919559179893
"CXCL8",3.8616431425216,14.5368536585501,0.000726096835030873,0.441782524476558
"PLAG1",-3.0461465217535,-8.26002713904307,0.000791395074572066,0.441782524476558
"TELO2",2.57782877049321,5.97040488019882,0.00079444367926929,0.441782524476558
"TIPARP",3.13962079674205,8.81292420122528,0.000813394253982532,0.441782524476558
"RUNX1T1",-7.06676982928148,-134.063233821283,0.000882219941374041,0.441782524476558
"EPHA3",-9.68950677686971,-825.718819552635,0.000901152441359375,0.441782524476558
"PLXND1",2.89128477925887,7.41930875353855,0.000950492796682898,0.441782524476558
"GABBR1",-6.06612357056271,-67.0015966607025,0.00101277338654824,0.441782524476558
"ATP8B4",4.03599464539975,16.4042149214333,0.00106519361243671,0.441782524476558
"PKIA",-4.01425176162891,-16.1588403602226,0.00106926738328427,0.441782524476558
"VIM",4.16227093125532,17.9047557286903,0.00107977346753755,0.441782524476558
"CHD7",-2.25129242067638,-4.76109171581343,0.00109863070941917,0.441782524476558
"MYCT1",-8.67643025545637,-409.134179261439,0.00109898789557381,0.441782524476558
"CMTM5",-6.97231609737299,-125.567221526515,0.00114871731665328,0.441782524476558
"TNIK",-3.9921569258904,-15.9132535328009,0.00119328724722949,0.441782524476558
"DUSP2",2.67383246919004,6.38122086569034,0.00119724596928048,0.441782524476558
"PDE4D",2.4492068540137,5.46115783772853,0.00124995903628312,0.441782524476558
"SYNE2",-3.28577442524854,-9.75251576413248,0.0012711679605729,0.441782524476558
"MAP3K8",2.50303989492138,5.66878634311052,0.00129165992811846,0.441782524476558
"LAT",-4.78053888209918,-27.4843581330188,0.00130467536088693,0.441782524476558
"RFX8",7.97145619577586,250.984801889911,0.00132816993454057,0.441782524476558
"ANXA3",-5.20636035664373,-36.9207602848487,0.00142222136767145,0.448674862389012
"TSPYL5",-4.37356490056952,-20.7288029470894,0.00145397687459405,0.448674862389012
"B3GNT5",3.88238846653706,14.7473973949726,0.00149128182408856,0.448674862389012
"BHLHE40",2.82844090307833,7.10306113815294,0.00164266248171812,0.448674862389012
"SH3RF1",3.53890312561771,11.6229399108158,0.00171672367591462,0.448674862389012
"STAB1",2.36750647673119,5.1604843393501,0.00172329980558372,0.448674862389012
"EMP1",5.10210070346946,34.3467265623197,0.0017317111272975,0.448674862389012
"OCLN",6.18448901822068,72.7305216226785,0.00177619882799665,0.448674862389012
"FLT3",6.68781184636975,103.093663091772,0.00182779359224144,0.448674862389012
"TRPC6",-9.95632562806989,-993.46520410788,0.00182896805985442,0.448674862389012
"CPXM1",2.03549679944953,4.09963878076765,0.00183706066776331,0.448674862389012
"RIT1",1.5808907782803,2.99154502806858,0.00184180934109752,0.448674862389012
"FCRL1",-4.14629413246486,-17.7075674487861,0.00186496638813617,0.448674862389012
"TPSD1",6.24140272791881,75.6570557023274,0.00186879922051987,0.448674862389012
"AMD1",1.50331403760264,2.83493181759781,0.00189422847660734,0.448674862389012
"CBX4",2.60680730800604,6.09154129438874,0.00191786711143752,0.448674862389012
"GOLGA8B",2.11755966715281,4.33959277452111,0.00192216964721336,0.448674862389012
"MDGA1",3.18179150723261,9.07433239692617,0.00199137252156267,0.451155129371571
"C2orf88",-3.84537229000206,-14.3738266789507,0.00201532527424563,0.451155129371571
"SPNS3",5.50909742784219,45.5411061300882,0.00203452144023256,0.451155129371571
"CTNNBL1",-1.55404580637819,-2.93639450276355,0.00221931294153016,0.471592854975894
"SPATA20",2.73079484881655,6.63821266399711,0.00223699455138207,0.471592854975894
"SOCS3",3.68384799791385,12.8513498609052,0.00225868405999129,0.471592854975894
"NFIC",2.0483862466619,4.13643022578946,0.002270415509735,0.471592854975894
"CD96",4.13129419955009,17.5244128094965,0.00234083496309432,0.471592854975894
"CD40",-3.22498081872834,-9.35009367401328,0.0024090932612872,0.471592854975894
"SERPINH1",-3.93400622309328,-15.2845929123673,0.00243300689532095,0.471592854975894
"MTSS1",-2.13453413007175,-4.39095311529789,0.00248650630254962,0.471592854975894
"GFI1",4.23307531821424,18.8054029953889,0.00253832424004903,0.471592854975894
"SGK1",3.22673659048308,9.36147974213743,0.00255781107993925,0.471592854975894
"ZNF503",6.09439443731637,68.3275000323384,0.00257703177151823,0.471592854975894
"ATP1B1",2.97702086659726,7.87358605602767,0.00268104544000739,0.471592854975894
"ALDH7A1",-3.8380102381617,-14.3006640827679,0.00270648926633062,0.471592854975894
"WWC2",-3.66832024129972,-12.7137722197159,0.00279959503394608,0.471592854975894
"PDLIM5",-2.4053002000545,-5.29745783687649,0.00280476688403004,0.471592854975894
"PDLIM1",-1.92533555694741,-3.79825181779796,0.00282061002611477,0.471592854975894
"LOC284454",2.61926496231853,6.14436943707886,0.00284674047573808,0.471592854975894
"SH2D1A",4.0795680751401,16.9072260790564,0.00286002417945113,0.471592854975894
"HACD1",-2.78753919319986,-6.90451076773882,0.00288150060018143,0.471592854975894
"SLC22A17",-4.01260605130332,-16.1404181656512,0.00291110423395674,0.471592854975894
"MIR221",3.17273029298571,9.01751734485889,0.00291636620582865,0.471592854975894
"HOMER3",4.09131257116379,17.0454238786562,0.00291846591601651,0.471592854975894
"DUSP10",2.87104959675838,7.31597221909536,0.00294191709605405,0.471592854975894
"MACROD2",-5.46424247808425,-44.146968788462,0.00301251972774441,0.474974236312875
"GNA15",2.04533893374981,4.1277023284297,0.00306924729837902,0.474974236312875
"LAX1",3.08117250779218,8.46301959954358,0.00307010780330005,0.474974236312875
"ITGB1",-1.62884489850638,-3.09265284652184,0.00318759055526405,0.480803566284839
"LMO4",-2.94588379864468,-7.70547449248306,0.00325996063721491,0.480803566284839
"GPR27",6.06706160070215,67.0451747918124,0.00330468120181554,0.480803566284839
"SQRDL",2.36898042152324,5.16575929742322,0.00330624581672948,0.480803566284839
"SRPR",1.36755742193961,2.58033328615659,0.00335565497139187,0.480803566284839
"MAFK",2.12251969941638,4.35453811154657,0.00340630170133539,0.480803566284839
"ADAMTS14",-3.26147300118726,-9.58961570139654,0.00342697567577781,0.480803566284839
"MBOAT7",2.48728952225299,5.60723495192833,0.0034865497289504,0.480803566284839
"HLX",4.23412247152378,18.8190575015329,0.00360291189007042,0.480803566284839
"CDK14",3.73516412417433,13.3166946058073,0.00363339380213451,0.480803566284839
"HK3",-2.70922431198769,-6.53969934930892,0.003662247644646,0.480803566284839
"IL15RA",3.62395289699366,12.3287352023913,0.00370153607954492,0.480803566284839
"DAG1",-2.54851227641192,-5.85030676901845,0.0037378574300996,0.480803566284839
"EPB41L5",-2.69230791411721,-6.46346556985264,0.00374502821391159,0.480803566284839
"GPR63",-5.57772568703438,-47.7598263841341,0.00374738285170581,0.480803566284839
"PRAM1",2.96810414016482,7.82507261584653,0.00376385223293788,0.480803566284839
"ANKRD36BP2",-3.58392363876587,-11.9913620995576,0.00381624056863023,0.480803566284839
"ELMSAN1",2.12653031648503,4.36666034246219,0.00384697089302086,0.480803566284839
